community_id,community_name
1,BIERUŃ
2,BOBROWNIKI
5,BYTOM
6,BĘDZIN
7,CHEŁM ŚLĄSKI
8,CHORZÓW
10,CZELADŹ
11,CZERWIONKA-LESZCZYNY
12,DĄBROWA GÓRNICZA
13,GIERAŁTOWICE
14,GLIWICE
15,IMIELIN
16,JAWORZNO
17,KATOWICE
18,KNURÓW
19,KOBIÓR
21,LĘDZINY
22,MIASTECZKO ŚLĄSKIE
23,MIERZĘCICE
24,MIKOŁÓW
26,MYSŁOWICE
28,ORNONTOWICE
29,ORZESZE
30,OŻAROWICE
31,PIEKARY ŚLĄSKIE
32,PILCHOWICE
34,PSARY
35,PSZCZYNA
36,PYSKOWICE
37,RADZIONKÓW
38,RUDA ŚLĄSKA
39,RUDZINIEC
41,SIEMIANOWICE ŚLĄSKIE
42,SIEWIERZ
43,SOSNOWIEC
44,SOŚNICOWICE
45,SŁAWKÓW
46,TYCHY
47,WOJKOWICE
48,WYRY
49,ZABRZE
51,ZBROSŁAWICE
52,ŚWIERKLANIEC
53,ŚWIĘTOCHŁOWICE
54,ŁAZISKA GÓRNE
55,ŁAZY
56,TWORÓG
57,TOSZEK
58,WIELOWIEŚ
59,KRUPSKI MŁYN
60,TARNOWSKIE GÓRY
81,OŚWIĘCIM
83,BOJSZOWY
84,MIEDŹNA
86,ŻORY
