route_long_name,route_short_name,agency_id,route_desc,route_type,route_id,route_url,route_color,route_text_color
BIERUŃ PLAC NOBLA - WOLA SKRZYŻOWANIE,56,1,Bieruń Plac Nobla - Wola Skrzyżowanie,3,56,https://rj.metropoliaztm.pl/rozklady/3-56,FF0000,400080
BRYNÓW CENTRUM PRZESIADKOWE - BRYNÓW CENTRUM PRZESIADKOWE,688,1,Brynów Centrum Przesiadkowe - Kostuchna Osiedle - Czułów Fabryka - Tychy Begonii - Tychy Stoczniowców 70 - Tychy Skałka - Tychy Gen. Grota-Roweckiego - Czułów Fabryka - Kostuchna Osiedle - Brynów Centrum Przesiadkowe,3,688,https://rj.metropoliaztm.pl/rozklady/3-688,FF0000,FFFFFF
BRYNÓW CENTRUM PRZESIADKOWE - BRYNÓW CENTRUM PRZESIADKOWE,Z-13,1,Brynów Centrum Przesiadkowe - Brynów Centrum Przesiadkowe,3,1079,https://rj.metropoliaztm.pl/rozklady/3-Z-13,000000,00FFFF
BRYNÓW CENTRUM PRZESIADKOWE - PODLESIE SASKA,Z-37,1,Brynów Centrum Przesiadkowe - Piotrowice Skrzyżowanie - Kostuchna Skrzyżowanie - Podlesie Saska,3,1084,https://rj.metropoliaztm.pl/rozklady/3-Z-37,000000,00FFFF
BRYNÓW CENTRUM PRZESIADKOWE - ZARZECZE OWSIANA PĘTLA,937,1,Brynów Centrum Przesiadkowe - Piotrowice Bukszpanowa Kaplica - Zarzecze Szarotek Boisko - Zarzecze Owsiana Pętla,3,937,https://rj.metropoliaztm.pl/rozklady/3-937,FF0000,
BRZEZINKA WAŁBRZYSKA - MIECHOWICE PĘTLA,57,1,Brzezinka Wałbrzyska - Brzezinka Droga do Łabęd - Gliwice Cmentarz Centralny - Gliwice Jasnogórska - Gliwice Częstochowska - Gliwice Piwna - Gliwice Centrum Przesiadkowe - Gliwice Radiostacja - Żerniki Rogozińskiego - Szałsza - Grzybowice Witosa - Wieszowa Waldhof - Rokitnica Andersa - Rokitnica Pętla - Helenka Kościół - Miechowice Pętla,3,57,https://rj.metropoliaztm.pl/rozklady/3-57,000000,FFFFFF
BYKOWINA GRZEGORZKA - GLIWICE CENTRUM PRZESIADKOWE,669,1,Bykowina Grzegorzka - Halemba Orzeszkowej - Halemba Park Wodny - Halemba Solidarności - Wygoda Skrzyżowanie - Paniówki Skrzyżowanie - Chudów Kościół - Przyszowice Kościół - Gliwice Górna - Gliwice Komag - Gliwice Plac Piastów - Gliwice Centrum Przesiadkowe,3,669,https://rj.metropoliaztm.pl/rozklady/3-669,000000,FFFFFF
BYTOM DWORZEC - BYTOM DWORZEC,127,1,Bytom Dworzec - Bytom Arki Bożka - Szombierki Kościół - Bytom Dworzec,3,127,https://rj.metropoliaztm.pl/rozklady/3-127,000000,FFFF00
BYTOM DWORZEC - BYTOM DWORZEC,227,1,Bytom Dworzec - Szombierki Kościół - Szombierki Osiedle - Bytom Arki Bożka - Bytom Plac Sobieskiego - Bytom Dworzec,3,227,https://rj.metropoliaztm.pl/rozklady/3-227,000000,FFFF00
BYTOM DWORZEC - CHORZÓW BATORY PĘTLA,201,1,Bytom Dworzec - Chropaczów Ratusz - Chropaczów Szkoła - Piaśniki Korfantego - Świętochłowice Bytomska - Świętochłowice Mijanka - Zgoda Centrum Kultury - Zgoda Osiedle Słoneczne - Chorzów Batory Pętla,3,201,https://rj.metropoliaztm.pl/rozklady/3-201,000000,
