route_id,route_start_date,route_end_date,route_type_1
0,20241103,20991231,Normalna
1,20250107,29991231,Normalna
2,20241204,29990101,Normalna
3,20241115,29990101,Normalna
4,20250107,29991231,Normalna
5,20241007,20991201,Normalna
6,20241007,20991231,Normalna
7,20241111,29990101,Normalna
8,20241007,29990101,Normalna
9,20241112,29991231,Normalna
10,20241112,29991231,Normalna
11,20241112,29991231,Normalna
12,20250107,29991231,Normalna
13,20250207,29990101,Normalna
15,20250222,29990101,Normalna
16,20250113,29990101,Normalna
17,20250312,29990101,Normalna
18,20241103,20991231,Normalna
19,20240909,20991231,Normalna
20,20250305,20991231,Normalna
21,20241021,29990101,Normalna
22,20250302,20991231,Normalna
23,20241111,29990101,Normalna
24,20250113,29990101,Normalna
25,20250113,29990101,Normalna
26,20250315,29990101,Normalna
27,20250113,29990101,Normalna
28,20250113,29990101,Normalna
29,20250118,29990101,Normalna
30,20250107,29991231,Normalna
31,20241204,29990101,Normalna
32,20250310,29990101,Normalna
34,20241213,29990101,Normalna
35,20250315,29990101,Normalna
36,20240902,29990101,Normalna
37,20241112,29991231,Normalna
39,20241220,29990101,Normalna
40,20250315,29990101,Normalna
41,20241221,29990101,Normalna
42,20250113,29990101,Normalna
43,20250113,20991231,Normalna
45,20241007,29990101,Normalna
46,20250107,29991231,Normalna
47,20241116,29990101,Normalna
48,20241112,29991231,Normalna
49,20240819,29990101,Normalna
50,20241103,20991231,Normalna
51,20250207,29990101,Normalna
52,20240624,29990101,Normalna
55,20241210,29990101,Normalna
56,20250118,29990101,Normalna
57,20250222,29990101,Normalna
58,20241007,29990101,Normalna
59,20241104,29990101,Normalna
61,20250315,29990101,Normalna
64,20250130,29990101,Normalna
66,20250305,29990101,Normalna
67,20250113,29990101,Normalna
69,20250122,29990101,Normalna
70,20240923,29990101,Normalna
71,20250310,29990101,Normalna
72,20241209,29991231,Normalna
73,20250224,29990101,Normalna
74,20241104,20991231,Normalna
75,20241207,29990101,Normalna
76,20241103,20991231,Normalna
79,20250113,29990101,Normalna
80,20241011,29990101,Normalna
81,20241104,29990101,Normalna
83,20250222,29990101,Normalna
84,20250113,29990101,Normalna
85,20250312,29990101,Normalna
87,20250101,29990101,Normalna
88,20250315,29990101,Normalna
89,20240219,29990101,Normalna
90,20250113,29990101,Normalna
91,20250315,20991231,Normalna
92,20250225,29990101,Normalna
96,20240422,20250331,Normalna
97,20250113,29990101,Normalna
99,20250113,29990101,Normalna
100,20250315,29990101,Normalna
104,20250113,29990101,Normalna
106,20250315,29990101,Normalna
107,20250113,29990101,Normalna
109,20241209,20991231,Normalna
110,20250107,29991231,Normalna
111,20241012,29990101,Normalna
114,20250130,29990101,Normalna
115,20250107,29991231,Normalna
116,20250113,29990101,Normalna
118,20240902,20991231,Normalna
120,20241221,29990101,Normalna
121,20240811,29990101,Normalna
124,20250113,29990101,Normalna
125,20250113,29990101,Normalna
126,20250310,29990101,Normalna
127,20241223,29990101,Normalna
129,20250219,29990101,Normalna
131,20241104,29990101,Normalna
132,20241228,29990101,Normalna
134,20240909,20991231,Normalna
137,20241102,29990101,Normalna
138,20250102,29991231,Normalna
139,20250210,29990101,Normalna
142,20240909,20991231,Normalna
145,20240801,29990101,Normalna
146,20240902,29990101,Normalna
147,20240811,29990101,Normalna
149,20250305,29990101,Normalna
150,20250315,29990101,Normalna
