stop_name,stop_code,stop_id,stop_lat,stop_lon,stop_url
Antoniów Konstytucji,2465011-00201,111,50.379208,19.239008,https://rj.metropoliaztm.pl/rozklady/przystanek/2465011-00201/
Antoniów Konstytucji,2465011-00202,112,50.379124,19.238922,https://rj.metropoliaztm.pl/rozklady/przystanek/2465011-00202/
Antoniów Skrzyżowanie,2465011-00303,115,50.374294,19.236046,https://rj.metropoliaztm.pl/rozklady/przystanek/2465011-00303/
Antoniów Skrzyżowanie,2465011-00304,8322,50.375072,19.236391,https://rj.metropoliaztm.pl/rozklady/przystanek/2465011-00304/
Antoniów Spacerowa,2465011-19901,5228,50.372307,19.230322,https://rj.metropoliaztm.pl/rozklady/przystanek/2465011-19901/
Antoniów Spacerowa,2465011-19902,5229,50.372307,19.22985,https://rj.metropoliaztm.pl/rozklady/przystanek/2465011-19902/
Babice ul. Śląska I,1213062-01212,6738,50.053123,19.201681,https://rj.metropoliaztm.pl/rozklady/przystanek/1213062-01212/
Babice ul. Śląska I,1213062-01213,6751,50.053665,19.201258,https://rj.metropoliaztm.pl/rozklady/przystanek/1213062-01213/
Babice ul. Śląska II,1213062-01310,6750,50.05622,19.198742,https://rj.metropoliaztm.pl/rozklady/przystanek/1213062-01310/
Babice ul. Śląska II,1213062-01311,6739,50.0565,19.198698,https://rj.metropoliaztm.pl/rozklady/przystanek/1213062-01311/
Bańgów Kościół,2474011-00301,120,50.32938,19.042433,https://rj.metropoliaztm.pl/rozklady/przystanek/2474011-00301/
Bańgów Kościół,2474011-00302,121,50.32946,19.042143,https://rj.metropoliaztm.pl/rozklady/przystanek/2474011-00302/
Bańgów Krupanka,2474011-00101,118,50.328125,19.026157,https://rj.metropoliaztm.pl/rozklady/przystanek/2474011-00101/
Bańgów Krupanka,2474011-00102,119,50.328236,19.023346,https://rj.metropoliaztm.pl/rozklady/przystanek/2474011-00102/
Bańgów Przychodnia nż,2474011-07401,7287,50.32694,19.030813,https://rj.metropoliaztm.pl/rozklady/przystanek/2474011-07401/
Bańgów Przychodnia nż,2474011-07402,7286,50.32714,19.030964,https://rj.metropoliaztm.pl/rozklady/przystanek/2474011-07402/
