stop_id,stop_code_add,community_ids,stop_vehicle_type_ids,stop_attribute_ids,stop_long_name,city,street,voice_message_code
552,"1",31,3,2_3,"","Piekary Śląskie","Przyjaźni",0
3733,"1",60,3,2_3,"","Tarnowskie Góry","Śniadeckiego",0
3220,"2",26,3,2_3,"","Mysłowice","Jana Dzierżona",0
1663,"1",12,3,2_3,"","Dąbrowa Górnicza","Marianki",0
837,"1",,,6,"","<Żadna>","",0
8560,"1",8,3,2,"","Chorzów","Hajducka",0
791,"1",15,3,2,"","Imielin","Nowozachęty",0
6195,"1",46,3,2_3,"","Tychy","Narcyzów",0
3051,"2",6,3,1_3,"","Będzin","Energetyczna",0
2333,"1",2,3,2,"","Siemonia","Wolności",0
100,"2",49,3,2_3,"","Zabrze","Aleja Korfantego",0
4327,"2t",43,2,2_3,"","Sosnowiec","Sobieskiego",0
5554,"1",6,3,2_3,"","Będzin","Józefa Cieszkowskiego",0
2193,"2",17,3,2_3,"","Katowice","Panewnicka",0
3846,"2",30,3,2_3,"","Ożarowice","Wolności",0
5978,"2",58,3,1,"","Wielowieś","Szkolna",0
2116,"2",31,3,2_3,"","Piekary Śląskie","Akacjowa",0
4026,"2",23,3,2,"","Mierzęcice","Targowa",0
6406,"2",46,3,2,"","Tychy","Długa",0
2350,"1",42,3,2,"","Podwarpie","Marcinków",0
6913,"2",,,6,"","<Żadna>","",0
3093,"1",7,3,2_3,"","Chełm Śląski","Chełmska",0
1218,"2",26,3,2_3,"","Mysłowice","Mieczysława Jastruna",0
5385,"3",43,3,2,"","Sosnowiec","Wiejska",0
1129,"1",38,3,2_3_4,"","Ruda Śląska","1 Maja",0
1929,"1",17,3,2_3,"","Katowice","Gen. Waltera Jankego",0
1348,"2",38,3,2_3,"","Ruda Śląska","Księdza Ludwika Tunkla",0
1680,"1",41,3,1_3,"","Siemianowice Śląskie","Tarnogórska",0
4014,"2",23,3,1,"","Mierzęcice","Wolności",0
1737,"2",49,3,2_3,"","Zabrze","11 Listopada",0
263,"2",14,3,2,"","Gliwice","Rolników",0
1741,"1t",49,2,2,"","Zabrze","Tarnopolska",0
2391,"2",43,3,2_3,"","Sosnowiec","Wileńska",0
7133,"2",17,3,1_3,"","Katowice","Aleja Roździeńskiego",0
4345,"1t",43,2,2_3,"","Sosnowiec","1 Maja",0
2718,"1",43,3,2_3,"","Sosnowiec","Stare Maczki",0
4062,"2",6,3,1_3,"","Będzin","Adama Asnyka",0
5705,"1",14,3,2,"","Gliwice","Pszczyńska",0
1949,"2/Łos",12,3,2,"","Dąbrowa Górnicza","Łaskowa",0
2328,"2",17,3,2_3,"","Katowice","Uniczowska",0
970,"1",,,6,"","<Żadna>","",0
3536,"2",41,3,2_3,"","Siemianowice Śląskie","Powstańców",0
5431,"1",12,3,2,"","Dąbrowa Górnicza","Żołnierska",0
1477,"1",31,3,2_3,"","Piekary Śląskie","Tarnogórska",0
1892,"1",43,3,2,"","Sosnowiec","Tuwima",0
8133,"1",13,3,1,"","Paniówki","Zabrska",0
2805,"1",34,3,2_3,"","Strzyżowice","1 Maja",0
561,"2t",43,2,2_3,"","Sosnowiec","Andersa",0
4912,"1",17,3,2_3,"","Katowice","Morawa",0
3192,"1",15,3,2,"","Imielin","Nowozachęty",0
3569,"2",60,3,2_3_4,"","Tarnowskie Góry","Bytomska",0
3340,"2",36,3,2_3_4,"","Pyskowice","Plac Wyszyńskiego",0
7170,"1A",17,3,2_3_4,"","Katowice","Sądowa",0
1264,"1",5,,2,"","<Żadna>","",0
3239,"2",17,3,2,"","Katowice","Józefowska",0
6807,"16",83,3,1_3,"","Bojszowy","Barwna",0
5015,"1",42,3,2,"","Siewierz","Młyńska",0
4944,"1",42,3,1_3,"","Siewierz","Graniczna",0
2338,"2t",43,2,2_3,"","Sosnowiec","3 Maja",0
3839,"2",30,3,2_3,"","Ożarowice","Świerczewskiego",0
3879,"1",30,3,2,"","Ożarowice","Przysieki",0
6214,"2",46,3_3,2_3,"","Tychy","Nowa",0
6192,"02",46,3,2,"","Tychy","Powstańców",0
5338,"1",26,3,1_3,"","Mysłowice","Laryska",0
2316,"2",12,3,2_3,"","Dąbrowa Górnicza","Broniewskiego",0
7935,"1",51,3,1,"","Zbrosławice","Pyskowicka",0
1933,"1",14,3,1_3,"","Gliwice","Rybnicka",0
2931,"2",12,3,2_3,"","Dąbrowa Górnicza","Legionów Polskich",0
1046,"2",6,3,2_3,"","Będzin","Norberta Barlickiego",0
10024,"1",6,3,2,"","Będzin","Czeslawa Miłosza",0
2493,"2",14,3,2_3,"","Gliwice","Tarnogórska",0
3197,"2",6,3,1,"","Będzin","Krakowska",0
4701,"2t",14,2,2_3,"","Gliwice","Chorzowska",0
374,"1",38,3,2_3,"","Ruda Śląska","Górnośląska",0
187,"1",49,3,1,"","Zabrze","Pod Borem",0
7370,"2",41,3,1,"","Siemianowice Śląskie","Fabryczna",0
4047,"1",17,3,2_3,"","Katowice","1 Maja",0
1947,"2",12,3,2,"","Dąbrowa Górnicza","Białej Przemszy",0
6504,"3",54,3,2_3_4,"","Łaziska Górne","Orzeska",0
4942,"1",42,3,1_3,"","Siewierz","Zagłębiowska",0
6781,"20",83,3,1,"","Bojszowy","Bojszowska",0
8707,"1",46,3_3,2_3,"","Tychy","Żorska",0
3211,"1",26,3,2,"","Mysłowice","Laryska",0
143,"2",8,3,2_3,"","Chorzów","Batorego",0
6090,"3",43,3,2,"","Sosnowiec","Inwestycyjna",0
8194,"2",49,3,2_3,"","Zabrze","Goduli",0
4340,"2t",43,2,2_3,"","Sosnowiec","Staszica",0
6153,"02",46,3,2,"","Tychy","Dołowa",0
8365,"3/tech",17,3,5,"","Katowice","Kwiatkowskiego",0
5963,"1",58,3,2,"","Wielowieś","Pocztowa",0
6119,"2",46,3,2_3,"","Tychy","Mikołowska",0
2535,"1",37,3,2_3_4,"","Radzionków","Kużaja",0
816,"1",12,3,2_3,"","Dąbrowa Górnicza","11 Listopada",0
1607,"1",31,3,2_3,"","Piekary Śląskie","Bytomska",0
12,"1",24,3,2_3,"","Mikołów","Gliwicka",0
1802,"2",17,3,1,"","Katowice","Tartaczna",0
6336,"2",46,3,2_3,"","Tychy","ks. Szojdy",0
1771,"1",26,3,2,"","Mysłowice","Józefa Wybickiego",0
3943,"1",11,3,2_3,"","Czerwionka-Leszczyny","Furgoła",0
7081,"1",49,,1,"","<Żadna>","",0
4141,"1",36,3,1,"","Pyskowice","Polna",0
3296,"2",38,3,2_3,"","Ruda Śląska","Wyzwolenia",0
174,"2",38,3,2_3,"","Ruda Śląska","Edmunda Kokota",0
4426,"1t",43,2,2,"","Sosnowiec","Makuszyńskiego",0
4917,"1",24,3,2_3,"","Mikołów","Gliwicka",0
1180,"1",21,3,2,"","Lędziny","Fredry",0
2810,"2",34,3,2,"","Strzyżowice","Szosowa",0
5198,"1",41,3,1,"","Siemianowice Śląskie","Budowlana",0
7887,"2",56,3,2,"","Tworóg","Kaletańska",0
7195,"3/tech",26,3,2,"","Mysłowice","Wiosny Ludów",0
1123,"1",38,3,2_3,"","Ruda Śląska","Solidarności",0
4458,"3t",17,2,2,"","Katowice","Wiosny Ludów",0
2252,"2",10,3,2_3_4,"","Czeladź","Nowopogońska",0
1476,"1",52,3,1,"","Świerklaniec","Bytomska",0
2120,"2",31,3,2,"","Piekary Śląskie","Kasztanowa",0
5941,"2",58,3,2,"","Wielowieś","DW 901",0
8709,"01",46,3,2,"","Tychy","Skowronków",0
9856,"02",26,3,1,"","Mysłowice","Szabelnia",0
6204,"2",46,3,2,"","Tychy","Borowa",0
3875,"1",30,3,2,"","Ożarowice","Oparowa",0
773,"2/Kato",49,3,2_3,"","Zabrze","Goethego",0
7169,"2A",17,3,2_3_4,"","Katowice","Goeppert-Mayer",0
4693,"1t",49,2,2_3,"","Zabrze","Wolności",0
5862,"1",51,3,2,"","Zbrosławice","Długa",0
2693,"1",14,,2,"","<Żadna>","",0
2551,"5/BYTO",49,3,2_3,"","Zabrze","Ofiar Katynia",0
4594,"2",5,3,2_3,"","Bytom","Świętochłowicka",0
2429,"1",41,3,2,"","Siemianowice Śląskie","Wiejska",0
2197,"1",17,3,2_3,"","Katowice","Krucza",0
1835,"2",38,3,2_3,"","Ruda Śląska","Czarnoleśna",0
5387,"2",43,3,2_3,"","Sosnowiec","Hubala-Dobrzańskiego",0
6428,"1",24,3,2_3,"","Mikołów","Dzieńdziela",0
4729,"1t",49,2,2,"","Zabrze","Mikulczycka",0
2374,"1",14,3,2_3,"","Gliwice","Tarnogórska",0
6349,"2",46,3,2_3,"","Tychy","Serdeczna",0
8549,"2t",6,2,2,"","Będzin","Gzichowska",0
489,"2",34,3,1_3,"","Dąbie Chrobakowe","Dąbie Chrobakowe",0
4491,"2t",41,2,2,"","Siemianowice Śląskie","Katowicka",0
6697,"3",1,3,2_3,"","Bieruń","Turystyczna",0
6239,"2",46,3,2_3,"","Tychy","Edukacji",0
915,"1",,,6,"","<Żadna>","",0
3147,"1",2,3,1,"","Twardowice","Wolności",0
7282,"4t",5,2,2_4,"","Bytom","Plac Sikorskiego",0
5878,"1",60,3,2,"","Tarnowskie Góry","droga wewnętrzna",0
5550,"1",47,3,2,"","Wojkowice","Spokojna",0
9108,"2",8,3,2,"","Chorzów","Strzelców Bytomskich",0
125,"1",8,3,2_3,"","Chorzów","Szpitalna",0
1420,"1",7,3,2_3,"","Chełm Śląski","Chełmska",0
9738,"02",17,3,2,"","Katowice","Skłodowskiej-Curie",0
8415,"2",21,3,2_3,"","Lędziny","Lipowa",0
5055,"1",,,6,"","Chorzów","Szymały",0
49,"2",52,3,1,"","Świerklaniec","Parkowa",0
1042,"2",6,3,2_3,"","Będzin","Norberta Barlickiego",0
1906,"1",52,3,2_3,"","Świerklaniec","Lasowicka",0
4608,"2t",5,2,2_3,"","Bytom","Chorzowska",0
7153,"2",30,3,2,"","Ożarowice","Kolejowa",0
251,"1",17,3,2_3,"","Katowice","Markiefki",0
5826,"1",57,3,2_3,"","Toszek","Tarnogórska",0
2040,"1",12,3,2,"","Dąbrowa Górnicza","Grynia",0
3678,"2",14,3,2_3,"","Gliwice","Chorzowska",0
5430,"1",12,3,1,"","Dąbrowa Górnicza","Rudy",0
6346,"2",46,3_3,2_3,"","Tychy","Strefowa",0
2445,"1",13,3,2_3,"","Przyszowice","Gliwicka",0
3058,"2",6,3,2_3,"","Będzin","Dąbrowska",0
1015,"2",,,6,"","<Żadna>","",0
4485,"2t",17,2,2_3,"","Katowice","Warszawska",0
