trip_id,operator_id,contract_id,vehicle_class_id,route_trip_short_name,is_base_route_trip,is_bypass_trip,chained_with_next
2_2047263,45,,31,"",1,0,0
2_2047265,45,,31,"",1,0,0
2_2047287,45,,31,"",1,0,0
2_2047289,45,,31,"",1,0,0
2_2047293,45,,31,"",1,0,0
2_2047295,45,,31,"",1,0,0
2_2047307,45,,31,"",1,0,0
2_2047321,45,,31,"",1,0,0
2_2047323,45,,31,"",1,0,0
2_2047335,45,,31,"",1,0,0
2_2047355,45,,31,"",1,0,0
2_2047357,45,,31,"",1,0,0
2_2047367,45,,31,"",1,0,0
2_2047369,45,,31,"",1,0,0
2_2047371,45,,31,"",1,0,0
2_2047260,45,,31,"",1,0,0
2_2047266,45,,31,"",1,0,0
2_2047268,45,,31,"",1,0,0
2_2047270,45,,31,"",1,0,0
2_2047272,45,,31,"",1,0,0
2_2047274,45,,31,"",1,0,0
2_2047276,45,,31,"",1,0,0
2_2047278,45,,31,"",1,0,0
2_2047280,45,,31,"",1,0,0
2_2047282,45,,31,"",1,0,0
2_2047284,45,,31,"",1,0,0
2_2047288,45,,31,"",1,0,0
2_2047290,45,,31,"",1,0,0
2_2047296,45,,31,"",1,0,0
2_2047298,45,,31,"",1,0,0
2_2047300,45,,31,"",1,0,0
2_2047302,45,,31,"",1,0,0
2_2047304,45,,31,"",1,0,0
2_2047308,45,,31,"",1,0,0
2_2047310,45,,31,"",1,0,0
2_2047312,45,,31,"",1,0,0
2_2047314,45,,31,"",1,0,0
2_2047316,45,,31,"",1,0,0
2_2047318,45,,31,"",1,0,0
2_2047324,45,,31,"",1,0,0
2_2047326,45,,31,"",1,0,0
2_2047328,45,,31,"",1,0,0
2_2047330,45,,31,"",1,0,0
2_2047332,45,,31,"",1,0,0
2_2047336,45,,31,"",1,0,0
2_2047338,45,,31,"",1,0,0
2_2047340,45,,31,"",1,0,0
2_2047342,45,,31,"",1,0,0
2_2047344,45,,31,"",1,0,0
2_2047346,45,,31,"",1,0,0
2_2047348,45,,31,"",1,0,0
2_2047350,45,,31,"",1,0,0
2_2047352,45,,31,"",1,0,0
2_2047358,45,,31,"",1,0,0
2_2047360,45,,31,"",1,0,0
2_2047362,45,,31,"",1,0,0
2_2047364,45,,31,"",1,0,0
2_2047372,45,,31,"",1,0,0
2_2047259,45,,31,"",0,0,0
2_2047261,45,,31,"",0,0,0
2_2047267,45,,31,"",0,0,0
2_2047269,45,,31,"",0,0,0
2_2047271,45,,31,"",0,0,0
2_2047273,45,,31,"",0,0,0
2_2047275,45,,31,"",0,0,0
2_2047277,45,,31,"",0,0,0
2_2047279,45,,31,"",0,0,0
2_2047281,45,,31,"",0,0,0
2_2047283,45,,31,"",0,0,0
2_2047285,45,,31,"",0,0,0
2_2047291,45,,31,"",0,0,0
2_2047297,45,,31,"",0,0,0
2_2047299,45,,31,"",0,0,0
2_2047301,45,,31,"",0,0,0
2_2047303,45,,31,"",0,0,0
2_2047305,45,,31,"",0,0,0
2_2047309,45,,31,"",0,0,0
2_2047311,45,,31,"",0,0,0
2_2047313,45,,31,"",0,0,0
2_2047315,45,,31,"",0,0,0
2_2047317,45,,31,"",0,0,0
2_2047319,45,,31,"",0,0,0
2_2047325,45,,31,"",0,0,0
2_2047327,45,,31,"",0,0,0
2_2047329,45,,31,"",0,0,0
2_2047331,45,,31,"",0,0,0
2_2047333,45,,31,"",0,0,0
2_2047337,45,,31,"",0,0,0
2_2047339,45,,31,"",0,0,0
